pop,numb_q,numb_tick,perc_q,rec_time,site,lab_time,time_since_min,min_t,sample_t,mean_nt
9,7,15,0.466666667,1300,1,28,11,17.5,22.5,17.5
10,4,15,0.266666667,1300,2,22,11,17.5,22.5,17.5
1,2,15,0.133333333,1400,3,8,12,17.5,22.5,17.5
2,3,15,0.2,1400,1,28,12,17.5,22.5,17.5
3,3,15,0.2,1400,3,8,12,17.5,22.5,17.5
4,2,15,0.133333333,1400,3,8,12,17.5,22.5,17.5
5,6,15,0.4,1400,3,8,12,17.5,22.5,17.5
6,5,15,0.333333333,1400,4,8,12,17.5,22.5,17.5
7,4,15,0.266666667,1400,4,8,12,17.5,22.5,17.5
8,6,15,0.4,1400,4,8,12,17.5,22.5,17.5
9,6,15,0.4,1400,1,28,12,17.5,22.5,17.5
10,3,15,0.2,1400,2,22,12,17.5,22.5,17.5
1,1,15,0.066666667,1500,3,8,13,17.5,25,17.5
2,4,15,0.266666667,1500,1,28,13,17.5,25,17.5
3,3,15,0.2,1500,3,8,13,17.5,25,17.5
4,2,15,0.133333333,1500,3,8,13,17.5,25,17.5
5,7,15,0.466666667,1500,3,8,13,17.5,25,17.5
6,4,15,0.266666667,1500,4,8,13,17.5,25,17.5
7,3,15,0.2,1500,4,8,13,17.5,25,17.5
8,8,15,0.533333333,1500,4,8,13,17.5,25,17.5
9,4,15,0.266666667,1500,1,28,13,17.5,25,17.5
10,5,15,0.333333333,1500,2,22,13,17.5,25,17.5
